P_ID,Property_name,Price,BHK,Transaction_type,Floor,Facing_Direction,Furnishing,Ownership,Bathrooms,Car_Parking,Status,Product_link,Area_in_sqr_feet,Price_per_sqr_feet
P_35,HCO Real Estates,26000000,3,Resale,7,North - East,Semi-Furnished,Freehold,3,1,Ready to Move,https://www.magicbricks.com/dlf-capital-greens-1-and-2-moti-nagar-new-delhi-pdpid-4d4235303031303330,1100,16250
P_36,Sun Real Estate,7500000,3,New Property,3,East,Semi-Furnished,Power Of Attorney,3,1,Ready to Move,https://www.magicbricks.com/dda-freedom-fighter-enclave-saket-new-delhi-pdpid-4d4235303736323033,1300,5000
P_37,Kairali Associates,30000000,4,Resale,2,North - East,Unfurnished,Co-operative Society,3,1,Ready to Move,,1500,18750
P_38,India Bhoomi 1,8000000,3,New Property,3,North - East,Semi-Furnished,Freehold,3,1,Ready to Move,,1100,6154
P_39,India Bhoomi 2,76000000,4,Resale,3,North - East,Semi-Furnished,Freehold,4,3,Ready to Move,,2700,26207
P_40,R K Property & Interior,19100000,3,Resale,3,North - East,Semi-Furnished,Freehold,2,1,Ready to Move,https://www.magicbricks.com/veena-apartment-dwarka-sector-22-new-delhi-pdpid-4d4235303130363432,1600,10611
P_41,Goodwill Associates 1,16000000,3,Resale,4,North - East,Semi-Furnished,Freehold,2,1,Ready to Move,https://www.magicbricks.com/azad-hind-apartments-dwarka-sector-9-new-delhi-pdpid-4d4235303130383132,1495,10000
P_42,Goodwill Associates 2,85000000,5,Resale,2,East,Unfurnished,Freehold,5,3,Ready to Move,https://www.magicbricks.com/emaar-project-commonwealth-games-village-2010-akshardham-temple-new-delhi-pdpid-4d4235303735363936,3401,24993
P_43,Saraswati Properties,8300000,3,New Property,2,North,Semi-Furnished,Freehold,2,1,Ready to Move,,770,9765
P_44,Gupta Realtors,23500000,4,Resale,9,North - East,Furnished,Freehold,3,1,Ready to Move,https://www.magicbricks.com/bhartiya-apartment-dwarka-sector-19-new-delhi-pdpid-4d4235303131303237,2200,9792
P_45,Blue Mango Properties,11500000,2,Resale,2,East,Furnished,Freehold,2,3,Ready to Move,,900,11500
P_46,Navigators Estate,33100000,3,Resale,0,South - East,Unfurnished,Freehold,3,1,Ready to Move,https://www.magicbricks.com/veera-safdarjung-enclave-safdarjung-enclave-new-delhi-pdpid-4d4235313639373833,1908,17348
P_47,Dezire Properties,30000000,3,New Property,1,North,Semi-Furnished,Freehold,3,2,Ready to Move,,1500,18750
P_48,Grover,14600000,2,Resale,2,East,Unfurnished,Freehold,2,2,Ready to Move,https://www.magicbricks.com/saraswati-narmada-ganga-yamuna-apartment-vasant-kunj-new-delhi-pdpid-4d4235303334363632,1000,13273
P_49,Lucky Realtech Pvt. Ltd.,3500000,2,New Property,1,North - East,Semi-Furnished,Freehold,2,1,Ready to Move,,550,5833
P_50,Ayuni Direct Realty,40800000,3,New Property,5,North - East,Semi-Furnished,Freehold,3,1,Under Construction,https://www.magicbricks.com/tarc-tripundra-bijwasan-new-delhi-pdpid-4d4235333332373335,2206,18500
P_51,Ashwani  Jangra,28500000,3,New Property,10,East,Semi-Furnished,Freehold,2,1,Ready to Move,https://www.magicbricks.com/dlf-capital-greens-1-and-2-moti-nagar-new-delhi-pdpid-4d4235303031303330,1580,17812
P_52,Kant Properties,32500000,3,Resale,0,North,Semi-Furnished,Freehold,3,1,Ready to Move,,1750,18056
P_53,Gauri Ganesh Real Estate,21500000,3,Resale,3,North - East,Semi-Furnished,Freehold,2,1,Ready to Move,https://www.magicbricks.com/phillips-cghs-dwarka-sector-23-new-delhi-pdpid-4d4235303131343136,1550,11316
P_54,Shokeen Estates,24900000,4,Resale,4,North - East,Semi-Furnished,Freehold,3,1,Ready to Move,https://www.magicbricks.com/dream-apartments-dwarka-sector-22-new-delhi-pdpid-4d4235303130393335,2000,11318
P_55,Original Vastu Properties & Interiors,16500000,3,Resale,2,North - East,Semi-Furnished,Freehold,3,1,Ready to Move,https://www.magicbricks.com/roop-villa-apartment-dwarka-sector-19-new-delhi-pdpid-4d4235303131323338,1550,9429
P_56,R S Associates,28500000,4,Resale,8,North - East,Semi-Furnished,Freehold,3,1,Ready to Move,https://www.magicbricks.com/railway-apartment-dwarka-sector-19-new-delhi-pdpid-4d4235303734323835,2000,12955
P_57,Happy Homez,7000000,3,New Property,2,East,Semi-Furnished,Freehold,2,1,Ready to Move,,1150,5469
P_58,Symbiosis Infra Pvt Ltd,52000000,3,New Property,3,East,Semi-Furnished,Freehold,4,3,Under Construction,https://www.magicbricks.com/sky-mansion-by-risland-chhattarpur-new-delhi-pdpid-4d4235313239323237,2400,15975
P_59,Prince Properties,21300000,1,Resale,9,West,Unfurnished,Freehold,1,1,Under Construction,https://www.magicbricks.com/godrej-prima-okhla-phase-1-new-delhi-pdpid-4d4235333334333339,520,25850
P_60,Shree Shivam Associates,16000000,3,Resale,8,North - East,Semi-Furnished,Freehold,2,1,Ready to Move,,1400,10000
P_61,Panchsheel Homes,37400000,4,Resale,2,East,Semi-Furnished,Freehold,3,1,Ready to Move,,340,12222
P_62,Deepak Magoo 1,36000000,3,New Property,4,East,Furnished,Freehold,3,1,Under Construction,https://www.magicbricks.com/tarc-tripundra-bijwasan-new-delhi-pdpid-4d4235333332373335,1406,16319
P_63,Deepak Magoo 2,9500000,2,Resale,1,East,Unfurnished,Freehold,2,1,Ready to Move,https://www.magicbricks.com/ag1-pocket-vikaspuri-vikaspuri-new-delhi-pdpid-4d4235313730383231,560,13571
P_64,Vikram Properties,22500000,3,Resale,6,South -West,Unfurnished,Freehold,2,2,Ready to Move,https://www.magicbricks.com/saraswati-narmada-ganga-yamuna-apartment-vasant-kunj-new-delhi-pdpid-4d4235303334363632,1500,14062
P_65,Kairali Associates,30000000,4,Resale,2,North - East,Unfurnished,Co-operative Society,3,1,Ready to Move,,1500,18750
P_66,India Bhoomi 1,8000000,3,New Property,3,North - East,Semi-Furnished,Freehold,3,1,Ready to Move,,1100,6154
P_67,India Bhoomi 2,76000000,4,Resale,3,North - East,Semi-Furnished,Freehold,4,3,Ready to Move,,2700,26207
P_68,R K Property & Interior,19100000,3,Resale,3,North - East,Semi-Furnished,Freehold,2,1,Ready to Move,https://www.magicbricks.com/veena-apartment-dwarka-sector-22-new-delhi-pdpid-4d4235303130363432,1600,10611
P_69,Goodwill Associates,16000000,3,Resale,4,North - East,Semi-Furnished,Freehold,2,1,Ready to Move,https://www.magicbricks.com/azad-hind-apartments-dwarka-sector-9-new-delhi-pdpid-4d4235303130383132,1495,10000
P_70,Blue Mango Properties,85000000,5,Resale,2,East,Unfurnished,Freehold,5,3,Ready to Move,https://www.magicbricks.com/emaar-project-commonwealth-games-village-2010-akshardham-temple-new-delhi-pdpid-4d4235303735363936,3401,24993
P_71,Blue Mango Properties,11500000,2,Resale,2,East,Furnished,Freehold,2,3,Ready to Move,,900,11500
P_72,Navigators Estate,33100000,3,Resale,0,South - East,Unfurnished,Freehold,3,1,Ready to Move,https://www.magicbricks.com/veera-safdarjung-enclave-safdarjung-enclave-new-delhi-pdpid-4d4235313639373833,1908,17348
P_73,Dezire Properties,30000000,3,New Property,1,North,Semi-Furnished,Freehold,3,2,Ready to Move,,1500,18750
P_74,Lucky Realtech Pvt. Ltd.,3500000,2,New Property,1,North - East,Semi-Furnished,Freehold,2,1,Ready to Move,,550,5833
P_75,Ayuni Direct Realty,40800000,3,New Property,5,North - East,Semi-Furnished,Freehold,3,1,Under Construction,https://www.magicbricks.com/tarc-tripundra-bijwasan-new-delhi-pdpid-4d4235333332373335,2206,18500
P_76,Ashwani  Jangra,28500000,3,New Property,10,East,Semi-Furnished,Freehold,2,1,Ready to Move,https://www.magicbricks.com/dlf-capital-greens-1-and-2-moti-nagar-new-delhi-pdpid-4d4235303031303330,1580,17812
P_77,Happy Homez,7000000,3,New Property,2,East,Semi-Furnished,Freehold,2,1,Ready to Move,,1150,5469
P_78,Symbiosis Infra Pvt Ltd,52000000,3,New Property,3,East,Semi-Furnished,Freehold,4,3,Under Construction,https://www.magicbricks.com/sky-mansion-by-risland-chhattarpur-new-delhi-pdpid-4d4235313239323237,2400,15975
P_79,Prince Properties,21300000,1,Resale,9,West,Unfurnished,Freehold,1,1,Under Construction,https://www.magicbricks.com/godrej-prima-okhla-phase-1-new-delhi-pdpid-4d4235333334333339,520,25850
P_80,Shree Shivam Associates,16000000,3,Resale,8,North - East,Semi-Furnished,Freehold,2,1,Ready to Move,,1400,10000
P_81,Vikram Properties,22500000,3,Resale,6,South -West,Unfurnished,Freehold,2,2,Ready to Move,https://www.magicbricks.com/saraswati-narmada-ganga-yamuna-apartment-vasant-kunj-new-delhi-pdpid-4d4235303334363632,1500,14062
P_82,Sikka Realtors,15800000,3,Resale,2,North - East,Semi-Furnished,Freehold,3,1,Ready to Move,https://www.magicbricks.com/parijat-apartment-dwarka-sector-4-new-delhi-pdpid-4d4235303130373931,1500,9576
P_83,Mahadev Properties,16000000,3,Resale,4,East,Unfurnished,Freehold,2,1,Ready to Move,https://www.magicbricks.com/quetta-apartment-dwarka-sector-22-new-delhi-pdpid-4d4235303130363232,1400,9412
P_84,Dwarka Home Search Real Estate,26000000,4,Resale,5,North,Semi-Furnished,Freehold,4,1,Ready to Move,https://www.magicbricks.com/krishna-residency-dwarka-sector-18a-new-delhi-pdpid-4d4235303734323236,2400,10000
P_85,Raj Kumar Associate,14500000,3,Resale,1,North - West,Semi-Furnished,Freehold,2,1,Ready to Move,https://www.magicbricks.com/dda-navniti-apartment-indraprastha-extension-new-delhi-pdpid-4d4235303833353837,1400,8788
P_86,Capcloud Developers,6700000,3,New Property,2,East,Unfurnished,Freehold,3,1,Under Construction,,115,5956
P_87,Future Properties Solutions Pvt. Ltd.,100000000,4,New Property,2,North - East,Semi-Furnished,Freehold,5,3,Under Construction,https://www.magicbricks.com/panchsheel-enclave-panchsheel-park-new-delhi-pdpid-4d4235313733363333,4500,22222
P_88,OM Documentation & Associates,4060000,3,New Property,1,East,Furnished,Freehold,2,1,Ready to Move,,780,5141
P_89,Ideal Property Solutions,349900000,5,New Property,0,East,Semi-Furnished,Freehold,5,3,Under Construction,https://www.magicbricks.com/shanti-niketan-moti-bagh-new-delhi-pdpid-4d4235313733303039,4500,76901
P_90,NE3V Buildcon Pvt Ltd,153300000,3,New Property,3,North - East,Semi-Furnished,Freehold,3,2,Under Construction,https://www.magicbricks.com/godrej-connaught-one-connaught-place-new-delhi-pdpid-4d4235333332333433,2413,63531
P_91,Vishal 1,1400000,1,New Property,1,North - West,Semi-Furnished,Freehold,1,1,Ready to Move,,430,3111
P_92,Vishal 2,6200000,3,New Property,2,North,Semi-Furnished,Freehold,2,1,Ready to Move,,855,6889
P_93,Vishal 3,12000000,3,New Property,1,North - East,Semi-Furnished,Freehold,3,1,Ready to Move,,150,8889
P_94,Vasant Realtors  A Capital Corpus Group 1,18000000,2,Resale,3,North - East,Semi-Furnished,Freehold,2,2,Ready to Move,https://www.magicbricks.com/dda-flats-vasant-kunj-vasant-kunj-new-delhi-pdpid-4d4235303333323130,1200,15652
P_95,Vasant Realtors  A Capital Corpus Group 2,7500000,3,New Property,1,East,Unfurnished,Power Of Attorney,3,1,Ready to Move,,1200,5769
P_96,Vasant Realtors  A Capital Corpus Group 3,11000000,3,Resale,2,East,Semi-Furnished,Freehold,2,1,Ready to Move,https://www.magicbricks.com/vishwakarma-apartment-vasundhara-enclave-new-delhi-pdpid-4d4235303834303130,1350,7586
P_97,Shubham  Properties 1,23500000,4,Resale,2,North - East,Semi-Furnished,Freehold,4,1,Ready to Move,https://www.magicbricks.com/chandanwari-apartments-dwarka-sector-10-new-delhi-pdpid-4d4235303130373730,1800,11750
P_98,Shubham  Properties 2,27500000,3,Resale,0,East,Furnished,Freehold,2,1,Ready to Move,,1575,17460
P_99,Manoj Kumar,16500000,3,Resale,3,North - East,Semi-Furnished,Freehold,3,1,Ready to Move,https://www.magicbricks.com/him-hit-sadbhavna-apartments-dwarka-sector-22-new-delhi-pdpid-4d4235303333353433,1650,9167
P_100,Pawan  Singh,4600000,3,New Property,1,North - East,Semi-Furnished,Freehold,2,1,Ready to Move,,890,5111
P_101,Satish Builder & Broker,3400000,3,New Property,1,East,Semi-Furnished,Freehold,2,1,Under Construction,,700,4722
P_102,Realty Mantra,26000000,3,New Property,1,East,Semi-Furnished,Freehold,3,1,Ready to Move,,1150,20800
P_103,R J Associates,187000000,3,New Property,5,East,Semi-Furnished,Freehold,2,1,Under Construction,https://www.magicbricks.com/godrej-connaught-one-connaught-place-new-delhi-pdpid-4d4235333332333433,2201,85000
P_104,Global Realitiez,100000000,4,New Property,3,South - East,Semi-Furnished,Freehold,4,2,Ready to Move,,2800,35714
P_105,Dream Property,36000000,4,New Property,1,North - East,Semi-Furnished,Freehold,4,2,Ready to Move,,1872,19231
P_106,arjun kumar,2300000,2,New Property,1,North - West,Semi-Furnished,Freehold,2,1,Ready to Move,,450,2556
P_107,Aggarwal Associates,4500000,2,New Property,2,North,Semi-Furnished,Freehold,2,1,Ready to Move,,680,6522
P_108,Prem Homes,1510000,1,New Property,4,East,Semi-Furnished,Freehold,1,1,Ready to Move,,380,3778
P_109,Cushman and Wakefield,39700000,3,New Property,6,East,Semi-Furnished,Freehold,3,1,Under Construction,https://www.magicbricks.com/tarc-tripundra-bijwasan-new-delhi-pdpid-4d4235333332373335,1161,17996
P_110,Laxmi Kant  Sharma,4750000,3,New Property,3,North - East,Unfurnished,Freehold,2,1,Under Construction,,100,5026
P_111,Bundela Group,29900000,4,New Property,6,East,Furnished,Freehold,3,1,Ready to Move,https://www.magicbricks.com/guru-apartment-dwarka-sector-6-new-delhi-pdpid-4d4235303130383231,2500,10679
P_112,Capcloud Developers,6700000,3,New Property,2,East,Unfurnished,Freehold,3,1,Under Construction,,115,5956
P_113,Future Properties Solutions Pvt. Ltd.,100000000,4,New Property,2,North - East,Semi-Furnished,Freehold,5,3,Under Construction,https://www.magicbricks.com/panchsheel-enclave-panchsheel-park-new-delhi-pdpid-4d4235313733363333,4500,22222
P_114,OM Documentation & Associates,4060000,3,New Property,1,East,Furnished,Freehold,2,1,Ready to Move,,780,5141
P_115,Ideal Property Solutions,349900000,5,New Property,0,East,Semi-Furnished,Freehold,5,3,Under Construction,https://www.magicbricks.com/shanti-niketan-moti-bagh-new-delhi-pdpid-4d4235313733303039,4500,76901
P_116,Vishal 1,1400000,1,New Property,1,North - West,Semi-Furnished,Freehold,1,1,Ready to Move,,430,3111
P_117,Vishal 2,6200000,3,New Property,2,North,Semi-Furnished,Freehold,2,1,Ready to Move,,855,6889
P_118,Vishal 3,12000000,3,New Property,1,North - East,Semi-Furnished,Freehold,3,1,Ready to Move,,150,8889
P_119,Pawan  Singh,4600000,3,New Property,1,North - East,Semi-Furnished,Freehold,2,1,Ready to Move,,890,5111
P_120,Satish Builder & Broker,3400000,3,New Property,1,East,Semi-Furnished,Freehold,2,1,Under Construction,,700,4722
P_121,Realty Mantra,26000000,3,New Property,1,East,Semi-Furnished,Freehold,3,1,Ready to Move,,1150,20800
P_122,R J Associates,187000000,3,New Property,5,East,Semi-Furnished,Freehold,2,1,Under Construction,https://www.magicbricks.com/godrej-connaught-one-connaught-place-new-delhi-pdpid-4d4235333332333433,2201,85000
P_123,Global Realitiez,100000000,4,New Property,3,South - East,Semi-Furnished,Freehold,4,2,Ready to Move,,2800,35714
P_124,Dream Property,36000000,4,New Property,1,North - East,Semi-Furnished,Freehold,4,2,Ready to Move,,1872,19231
P_125,arjun kumar,2300000,2,New Property,1,North - West,Semi-Furnished,Freehold,2,1,Ready to Move,,450,2556
P_126,Laxmi Kant  Sharma,4750000,3,New Property,3,North - East,Unfurnished,Freehold,2,1,Under Construction,,100,5026
P_127,Bundela Group,29900000,4,New Property,6,East,Furnished,Freehold,3,1,Ready to Move,https://www.magicbricks.com/guru-apartment-dwarka-sector-6-new-delhi-pdpid-4d4235303130383231,2500,10679
P_128,Sharma Estates,160000000,3,New Property,3,North - East,Semi-Furnished,Freehold,4,2,Under Construction,https://www.magicbricks.com/godrej-connaught-one-connaught-place-new-delhi-pdpid-4d4235333332333433,2562,62451
P_129,Parmar Properties 1,11000000,2,Resale,3,North - East,Unfurnished,Freehold,2,2,Ready to Move,https://www.magicbricks.com/dda-dwarkadheesh-apartment-dwarka-sector-12-new-delhi-pdpid-4d4235303130383833,1100,10000
P_130,Parmar Properties 2,35000000,4,New Property,4,West,Semi-Furnished,Freehold,3,1,Ready to Move,,2000,17073
P_131,Milan Properties and Builders,2200000,1,Resale,1,East,Semi-Furnished,Freehold,1,1,Ready to Move,,425,4889
P_132,Vaastu Villas Pvt. Ltd.,40000000,4,New Property,1,East,Furnished,Freehold,4,2,Under Construction,https://www.magicbricks.com/vivek-apartment-vikaspuri-new-delhi-pdpid-4d4235303835323835,2100,17391
P_133,Janta Homes 1,2300000,2,New Property,0,East,Semi-Furnished,Freehold,2,1,Ready to Move,,590,3538
P_134,Janta Homes 2,15500000,2,Resale,1,North - East,Unfurnished,Freehold,2,1,Ready to Move,https://www.magicbricks.com/dda-flats-munirka-munirka-new-delhi-pdpid-4d4235303336333534,1000,12917
P_135,Janta Homes 3,17500000,3,Resale,3,North - East,Semi-Furnished,Freehold,2,1,Ready to Move,,950,18421
P_136,Janta Homes 4,70000000,4,New Property,1,North - East,Semi-Furnished,Freehold,4,3,Ready to Move,,2700,23333
P_137,Janta Homes 5,40000000,3,New Property,0,North - East,Unfurnished,Freehold,4,2,Ready to Move,,208,21368
P_138,Janta Homes 6,23500000,4,Resale,3,North - East,Semi-Furnished,Freehold,4,1,Ready to Move,https://www.magicbricks.com/diamond-square-dwarka-sector-6-new-delhi-pdpid-4d4235303131333839,1900,10682
P_139,Property Experts,21000000,3,Resale,7,West,Semi-Furnished,Freehold,3,1,Ready to Move,https://www.magicbricks.com/engineers-apartment-dwarka-new-delhi-pdpid-4d4235303333333139,1900,10000
P_140,Kapoor Properties,52000000,3,New Property,15,East,Furnished,Freehold,3,1,Under Construction,,3300,15758
P_141,Vishal Rajput,6000000,3,New Property,3,North,Semi-Furnished,Freehold,2,1,Ready to Move,,900,10000
P_142,Link Properties Pvt. Ltd.,39000000,4,Resale,9,North - East,Semi-Furnished,Freehold,4,1,Ready to Move,https://www.magicbricks.com/majestic-apartments-dwarka-sector-18-new-delhi-pdpid-4d4235303131313636,3000,10263
P_143,Link Properties Pvt. Ltd.,21000000,3,Resale,2,East,Semi-Furnished,Freehold,3,1,Ready to Move,,1250,15556
P_144,Link Properties Pvt. Ltd.,20000000,3,New Property,1,North,Semi-Furnished,Freehold,2,1,Ready to Move,,140,15873
P_145,Link Properties Pvt. Ltd.,28500000,3,New Property,3,East,Semi-Furnished,Freehold,3,1,Ready to Move,,1200,19792
P_146,N S Estate Developers,4950000,3,New Property,1,East,Semi-Furnished,Freehold,2,1,Ready to Move,,1100,4125
P_147,Ashiyana Associates,20000000,3,New Property,1,South - East,Semi-Furnished,Freehold,3,1,Ready to Move,,1080,17778
P_148,Sushil  Mishra,2089999,2,New Property,1,North - East,Unfurnished,Freehold,2,1,Ready to Move,https://www.magicbricks.com/rama-park-apartment-dwarka-mor-new-delhi-pdpid-4d4235313730323033,500,3800
P_149,Singh Associates,30000000,3,New Property,1,South,Unfurnished,Freehold,3,2,Ready to Move,,200,16667
P_150,Singh Associates,2900000,2,New Property,1,East,Semi-Furnished,Freehold,2,1,Ready to Move,https://www.magicbricks.com/sb-residency-dwarka-mor-new-delhi-pdpid-4d4235313134353633,700,4143
P_151,Singh Associates,18000000,3,Resale,0,North,Unfurnished,Freehold,2,1,Ready to Move,,1400,12414
P_152,Singh Associates,180000000,4,New Property,0,North - East,Unfurnished,Freehold,5,4,Ready to Move,,600,44444
P_153,Mangalam Infratech,147500000,4,Resale,1,North,Semi-Furnished,Freehold,5,3,Ready to Move,,7200,20486
P_154,Mangalam Infratech,18800000,3,Resale,4,North,Semi-Furnished,Freehold,3,1,Ready to Move,https://www.magicbricks.com/kesarwani-apartment-dwarka-sector-5-new-delhi-pdpid-4d4235303131303135,2000,8952
P_155,Milan Properties and Builders,40000000,3,New Property,1,North - East,Unfurnished,Freehold,3,2,Ready to Move,,1400,22222
P_156,Milan Properties and Builders,47500000,4,New Property,3,North - East,Unfurnished,Freehold,4,1,Ready to Move,,1800,10000
P_157,Milan Properties and Builders,18000000,3,New Property,2,North,Semi-Furnished,Freehold,2,1,Ready to Move,,1125,16000
P_158,Milan Properties and Builders,2200000,1,Resale,1,East,Semi-Furnished,Freehold,1,1,Ready to Move,,425,4889
P_159,Vaastu Villas Pvt. Ltd.,40000000,4,New Property,1,East,Furnished,Freehold,4,2,Under Construction,https://www.magicbricks.com/vivek-apartment-vikaspuri-new-delhi-pdpid-4d4235303835323835,2100,17391
P_160,Janta Homes,2300000,2,New Property,0,East,Semi-Furnished,Freehold,2,1,Ready to Move,,590,3538
P_161,N S Estate Developers,15500000,2,Resale,1,North - East,Unfurnished,Freehold,2,1,Ready to Move,https://www.magicbricks.com/dda-flats-munirka-munirka-new-delhi-pdpid-4d4235303336333534,1000,12917
P_162,N S Estate Developers,17500000,3,Resale,3,North - East,Semi-Furnished,Freehold,2,1,Ready to Move,,950,18421
P_163,N S Estate Developers,70000000,4,New Property,1,North - East,Semi-Furnished,Freehold,4,3,Ready to Move,,2700,23333
P_164,N S Estate Developers,40000000,3,New Property,0,North - East,Unfurnished,Freehold,4,2,Ready to Move,,208,21368
P_165,N S Estate Developers,21000000,3,Resale,2,East,Semi-Furnished,Freehold,3,1,Ready to Move,,1250,15556
